ColorName,HexValue,Red,Green,Blue
RedCrayola,#EE204D,238,32,77
RedMunsell,#F2003C,242,0,60
RedNCS,#C40233,196,2,51
RedPantone,#ED2939,237,41,57
RedPigment,#ED1C24,237,28,36
RedRYB,#FE2712,254,39,18
RedOrange,#FF5349,255,83,73
RedOrangeCrayola,#FF681F,255,104,31
RedOrangeColorWheel,#FF4500,255,69,0
RedPurple,#E40078,228,0,120
RedSalsa,#FD3A4A,253,58,74
RedViolet,#C71585,199,21,133
RedVioletCrayola,#C0448F,192,68,143
RedVioletColorWheel,#922B3E,146,43,62
Redwood,#A45A52,164,90,82
ResolutionBlue,#002387,0,35,135
Rhythm,#777696,119,118,150
RichBlack,#004040,0,64,64
RichBlackFOGRA29,#010B13,1,11,19
RichBlackFOGRA39,#010203,1,2,3
RifleGreen,#444C38,68,76,56
RobinEggBlue,#00CCCC,0,204,204
RocketMetallic,#8A7F80,138,127,128
RomanSilver,#838996,131,137,150
Rose,#FF007F,255,0,127
RoseBonbon,#F9429E,249,66,158
RoseDust,#9E5E6F,158,94,111
RoseEbony,#674846,103,72,70
RoseMadder,#E32636,227,38,54
RosePink,#FF66CC,255,102,204
RoseQuartz,#AA98A9,170,152,169
RoseRed,#C21E56,194,30,86
RoseTaupe,#905D5D,144,93,93
RoseVale,#AB4E52,171,78,82
Rosewood,#65000B,101,0,11
RossoCorsa,#D40000,212,0,0
RosyBrown,#BC8F8F,188,143,143
RoyalBlueDark,#002366,0,35,102
RoyalBlueLight,#4169E1,65,105,225
RoyalPurple,#7851A9,120,81,169
RoyalYellow,#FADA5E,250,218,94
Ruber,#CE4676,206,70,118
RubineRed,#D10056,209,0,86
Ruby,#E0115F,224,17,95
RubyRed,#9B111E,155,17,30
Rufous,#A81C07,168,28,7
Russet,#80461B,128,70,27
RussianGreen,#679267,103,146,103
RussianViolet,#32174D,50,23,77
Rust,#B7410E,183,65,14
RustyRed,#DA2C43,218,44,67
SacramentoStateGreen,#043927,4,57,39
SaddleBrown,#8B4513,139,69,19
SafetyOrange,#FF7800,255,120,0
BlazeOrange,#FF6700,255,103,0
SafetyYellow,#EED202,238,210,2
Saffron,#F4C430,244,196,48
Sage,#BCB88A,188,184,138
StPatricksBlue,#23297A,35,41,122
Salmon,#FA8072,250,128,114
SalmonPink,#FF91A4,255,145,164
Sand,#C2B280,194,178,128
SandDune,#967117,150,113,23
SandyBrown,#F4A460,244,164,96
SapGreen,#507D2A,80,125,42
Sapphire,#0F52BA,15,82,186
SapphireBlue,#0067A5,0,103,165
SapphireCrayola,#0067A5,0,103,165
SatinSheenGold,#CBA135,203,161,53
Scarlet,#FF2400,255,36,0
SchaussPink,#FF91AF,255,145,175
SchoolBusYellow,#FFD800,255,216,0
ScreaminGreen,#66FF66,102,255,102
SeaGreen,#2E8B57,46,139,87
SeaGreenCrayola,#00FFCD,0,255,205
SealBrown,#59260B,89,38,11
Seashell,#FFF5EE,255,245,238
SelectiveYellow,#FFBA00,255,186,0
Sepia,#704214,112,66,20
Shadow,#8A795D,138,121,93
ShadowBlue,#778BA5,119,139,165
ShamrockGreen,#009E60,0,158,96
SheenGreen,#8FD400,143,212,0
ShimmeringBlush,#D98695,217,134,149
ShinyShamrock,#5FA778,95,167,120
ShockingPink,#FC0FC0,252,15,192
ShockingPinkCrayola,#FF6FFF,255,111,255
Sienna,#882D17,136,45,23
Silver,#C0C0C0,192,192,192
SilverCrayola,#C9C0BB,201,192,187
SilverMetallic,#AAA9AD,170,169,173
SilverChalice,#ACACAC,172,172,172
SilverPink,#C4AEAD,196,174,173
SilverSand,#BFC1C2,191,193,194
Sinopia,#CB410B,203,65,11
SizzlingRed,#FF3855,255,56,85
SizzlingSunrise,#FFDB00,255,219,0
Skobeloff,#007474,0,116,116
SkyBlue,#87CEEB,135,206,235
SkyBlueCrayola,#76D7EA,118,215,234
SkyMagenta,#CF71AF,207,113,175
SlateBlue,#6A5ACD,106,90,205
SlateGray,#708090,112,128,144
SlimyGreen,#299617,41,150,23
Smitten,#C84186,200,65,134
SmokyBlack,#100C08,16,12,8
Snow,#FFFAFA,255,250,250
SolidPink,#893843,137,56,67
SonicSilver,#757575,117,117,117
SpaceCadet,#1D2951,29,41,81
SpanishBistre,#807532,128,117,50
SpanishBlue,#0070B8,0,112,184
SpanishCarmine,#D10047,209,0,71
SpanishGray,#989898,152,152,152
SpanishGreen,#009150,0,145,80
SpanishOrange,#E86100,232,97,0
SpanishPink,#F7BFBE,247,191,190
SpanishRed,#E60026,230,0,38
SpanishSkyBlue,#00FFFF,0,255,255
SpanishViolet,#4C2882,76,40,130
SpanishViridian,#007F5C,0,127,92
SpringBud,#A7FC00,167,252,0
SpringFrost,#87FF2A,135,255,42
SpringGreen,#00FF7F,0,255,127
SpringGreenCrayola,#ECEBBD,236,235,189
StarCommandBlue,#007BB8,0,123,184
SteelBlue,#4682B4,70,130,180
SteelPink,#CC33CC,204,51,204
SteelTeal,#5F8A8B,95,138,139
StilDeGrainYellow,#FADA5E,250,218,94
Straw,#E4D96F,228,217,111
SugarPlum,#914E75,145,78,117
Sunglow,#FFCC33,255,204,51
Sunray,#E3AB57,227,171,87
Sunset,#FAD6A5,250,214,165
SuperPink,#CF6BA9,207,107,169
SweetBrown,#A83731,168,55,49
Tan,#D2B48C,210,180,140
TanCrayola,#D99A6C,217,154,108
Tangerine,#F28500,242,133,0
TangoPink,#E4717A,228,113,122
TartOrange,#FB4D46,251,77,70
Taupe,#483C32,72,60,50
TaupeGray,#8B8589,139,133,137
TeaGreen,#D0F0C0,208,240,192
TeaRose,#F88379,248,131,121
TeaRoseWeb,#F4C2C2,244,194,194
Teal,#008080,0,128,128
TealBlue,#367588,54,117,136
Telemagenta,#CF3476,207,52,118
Tawny,#CD5700,205,87,0
TerraCotta,#E2725B,226,114,91
Thistle,#D8BFD8,216,191,216
ThulianPink,#DE6FA1,222,111,161
TickleMePink,#FC89AC,252,137,172
TiffanyBlue,#0ABAB5,10,186,181
Timberwolf,#DBD7D2,219,215,210
TitaniumYellow,#EEE600,238,230,0
Tomato,#FF6347,255,99,71
TropicalRainforest,#00755E,0,117,94
TrueBlue,#2D68C4,45,104,196
TrypanBlue,#1C05B3,28,5,179
TuftsBlue,#3E8EDE,62,142,222
Tumbleweed,#DEAA88,222,170,136
Turquoise,#40E0D0,64,224,208
TurquoiseBlue,#00FFEF,0,255,239
TurquoiseGreen,#A0D6B4,160,214,180
TurtleGreen,#8A9A5B,138,154,91
Tuscan,#FAD6A5,250,214,165
TuscanBrown,#6F4E37,111,78,55
TuscanRed,#7C4848,124,72,72
TuscanTan,#A67B5B,166,123,91
Tuscany,#C09999,192,153,153
TwilightLavender,#8A496B,138,73,107
TyrianPurple,#66023C,102,2,60
UABlue,#0033AA,0,51,170
UARed,#D9004C,217,0,76
Ultramarine,#3F00FF,63,0,255
UltramarineBlue,#4166F5,65,102,245
UltraPink,#FF6FFF,255,111,255
UltraRed,#FC6C85,252,108,133
Umber,#635147,99,81,71
UnbleachedSilk,#FFDDCA,255,221,202
UnitedNationsBlue,#5B92E5,91,146,229
UnmellowYellow,#FFFF66,255,255,102
UPForestGreen,#014421,1,68,33
UPMaroon,#7B1113,123,17,19
UpsdellRed,#AE2029,174,32,41
UranianBlue,#AFDBF5,175,219,245
USAFABlue,#004F98,0,79,152
VanDykeBrown,#664228,102,66,40
Vanilla,#F3E5AB,243,229,171
VanillaIce,#F38FA9,243,143,169
VegasGold,#C5B358,197,179,88
VenetianRed,#C80815,200,8,21
Verdigris,#43B3AE,67,179,174
Vermilion,#E34234,227,66,52
VermilionWeb,#D9381E,217,56,30
Veronica,#A020F0,160,32,240
Violet,#8F00FF,143,0,255
VioletColorWheel,#7F00FF,127,0,255
VioletCrayola,#963D7F,150,61,127
VioletRYB,#8601AF,134,1,175
VioletWeb,#EE82EE,238,130,238
VioletBlue,#324AB2,50,74,178
VioletBlueCrayola,#766EC8,118,110,200
VioletRed,#F75394,247,83,148
Viridian,#40826D,64,130,109
ViridianGreen,#009698,0,150,152
VividBurgundy,#9F1D35,159,29,53
VividSkyBlue,#00CCFF,0,204,255
VividTangerine,#FFA089,255,160,137
VividViolet,#9F00FF,159,0,255
Volt,#CEFF00,206,255,0
WarmBlack,#004242,0,66,66
Wheat,#F5DEB3,245,222,179
WildBlueYonder,#A2ADD0,162,173,208
WildOrchid,#D470A2,212,112,162
WildStrawberry,#FF43A4,255,67,164
WildWatermelon,#FC6C85,252,108,133
WindsorTan,#A75502,167,85,2
Wine,#722F37,114,47,55
WineDregs,#673147,103,49,71
WinterSky,#FF007C,255,0,124
WintergreenDream,#56887D,86,136,125
Wisteria,#C9A0DC,201,160,220
WoodBrown,#C19A6B,193,154,107
Xanthic,#EEED09,238,237,9
Xanadu,#738678,115,134,120
YaleBlue,#00356B,0,53,107
YellowCrayola,#FCE883,252,232,131
YellowMunsell,#EFCC00,239,204,0
YellowNCS,#FFD300,255,211,0
YellowPantone,#FEDF00,254,223,0
YellowProcess,#FFEF00,255,239,0
YellowRYB,#FEFE33,254,254,51
YellowGreen,#9ACD32,154,205,50
YellowGreenCrayola,#C5E384,197,227,132
YellowGreenColorWheel,#30B21A,48,178,26
YellowOrange,#FFAE42,255,174,66
YellowOrangeColorWheel,#FF9505,255,149,5
YellowSunshine,#FFF700,255,247,0
YInMnBlue,#2E5090,46,80,144
Zaffre,#0014A8,0,20,168
Zomp,#39A78E,57,167,142
